[freebase -> gkg: progress] 18450 done, 0 error
[freebase -> gkg: progress] 18500 done, 0 error
[freebase -> gkg: progress] 18550 done, 0 error
[freebase -> gkg: progress] 18600 done, 0 error
[freebase -> gkg: progress] 18650 done, 0 error
[freebase -> gkg: progress] 18700 done, 0 error
[freebase -> gkg: progress] 18750 done, 0 error
[freebase -> gkg: progress] 18800 done, 0 error
[freebase -> gkg: progress] 18850 done, 0 error
[freebase -> gkg: progress] 18900 done, 0 error
[freebase -> gkg: progress] 18950 done, 0 error
[freebase -> gkg: progress] 19000 done, 0 error
[freebase -> gkg: progress] 19050 done, 0 error
[freebase -> gkg: progress] 19100 done, 0 error
[freebase -> gkg: progress] 19150 done, 0 error
[freebase -> gkg: progress] 19200 done, 0 error
[freebase -> gkg: progress] 19250 done, 0 error
[freebase -> gkg: progress] 19300 done, 0 error
[freebase -> gkg: progress] 19350 done, 0 error
[freebase -> gkg: progress] 19400 done, 0 error
[freebase -> gkg: progress] 19450 done, 0 error
[freebase -> gkg: progress] 19500 done, 0 error
[freebase -> gkg: progress] 19550 done, 0 error
[freebase -> gkg: progress] 19600 done, 0 error
[freebase -> gkg: progress] 19650 done, 0 error
[freebase -> gkg: progress] 19700 done, 0 error
[freebase -> gkg: progress] 19750 done, 0 error
[freebase -> gkg: progress] 19800 done, 0 error
[freebase -> gkg: progress] 19850 done, 0 error
[freebase -> gkg: progress] 19900 done, 0 error
[freebase -> gkg: progress] 19950 done, 0 error
[freebase -> gkg: progress] 20000 done, 0 error
[freebase -> gkg: progress] 20050 done, 0 error
[freebase -> gkg: progress] 20100 done, 0 error
[freebase -> gkg: progress] 20150 done, 0 error
[freebase -> gkg: progress] 20200 done, 0 error
[freebase -> gkg: progress] 20250 done, 0 error
[freebase -> gkg: progress] 20300 done, 0 error
[freebase -> gkg: progress] 20350 done, 0 error
[freebase -> gkg: progress] 20400 done, 0 error
[freebase -> gkg: progress] 20450 done, 0 error
[freebase -> gkg: progress] 20500 done, 0 error
[freebase -> gkg: progress] 20550 done, 0 error
[freebase -> gkg: progress] 20600 done, 0 error
[freebase -> gkg: progress] 20650 done, 0 error
[freebase -> gkg: progress] 20700 done, 0 error
[freebase -> gkg: progress] 20750 done, 0 error
[freebase -> gkg: progress] 20800 done, 0 error
